date,leading_cycle,kospi_credit,kosdaq_credit,adr_kospi,adr_kosdaq
1996-01-01,100.2,3.49,1.5,1.09,1.21
1996-01-02,100.22,3.49,1.44,1.11,1.22
1996-01-03,100.21,3.49,1.49,1.10,1.18
1996-01-04,100.2,3.51,1.55,1.08,1.23
1996-01-05,100.22,3.51,1.47,1.05,1.19
1996-01-06,100.17,3.51,1.55,1.08,1.20
1996-01-07,100.2,3.49,1.52,1.09,1.19
1996-01-08,100.16,3.48,1.52,1.12,1.19
1996-01-09,100.23,3.49,1.52,1.08,1.22
1996-01-10,100.21,3.54,1.46,1.12,1.23
1996-01-11,100.22,3.43,1.4,1.11,1.18
1996-01-12,100.18,3.46,1.54,1.12,1.19
1996-01-13,100.22,3.44,1.53,1.10,1.17
1996-01-14,100.17,3.5,1.49,1.09,1.21
1996-01-15,100.2,3.54,1.53,1.11,1.20
1996-01-16,100.21,3.53,1.52,1.12,1.20
1996-01-17,100.18,3.47,1.48,1.06,1.21
1996-01-18,100.22,3.49,1.6,1.06,1.16
1996-01-19,100.18,3.45,1.53,1.09,1.21
1996-01-20,100.24,3.53,1.54,1.11,1.19
1996-01-21,100.25,3.5,1.45,1.11,1.17
1996-01-22,100.19,3.55,1.44,1.15,1.19
1996-01-23,100.2,3.52,1.49,1.10,1.19
1996-01-24,100.22,3.53,1.6,1.12,1.20
1996-01-25,100.22,3.47,1.48,1.10,1.19
1996-01-26,100.18,3.55,1.48,1.09,1.20
1996-01-27,100.2,3.54,1.47,1.10,1.20
1996-01-28,100.2,3.41,1.46,1.09,1.22
1996-01-29,100.19,3.53,1.55,1.11,1.24
1996-01-30,100.2,3.52,1.51,1.11,1.20
1996-01-31,100.24,3.55,1.52,1.10,1.22
1996-02-01,100.18,3.55,1.52,1.10,1.17
1996-02-02,100.24,3.51,1.58,1.08,1.14
1996-02-03,100.2,3.59,1.51,1.13,1.23
1996-02-04,100.19,3.45,1.5,1.07,1.17
1996-02-05,100.25,3.55,1.53,1.08,1.18
1996-02-06,100.14,3.55,1.53,1.11,1.20
1996-02-07,100.19,3.48,1.51,1.10,1.21
1996-02-08,100.26,3.46,1.49,1.11,1.21
1996-02-09,100.25,3.49,1.49,1.07,1.18
